edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,ingreso
51,1,0,1,2,2,8000
71,1,0,5,6,2,15000
41,1,0,5,5,2,20000
29,0,0,1,4,2,8000
79,0,0,6,3,3,9500
51,1,0,3,2,2,2800
29,0,0,1,1,2,1000
50,1,0,5,2,2,2000
52,0,0,5,4,3,20000
53,0,0,1,2,2,2400
40,1,0,5,5,2,2000
29,0,0,5,3,2,3500
41,0,0,5,6,2,40000
41,0,0,1,3,2,1000
35,0,0,1,5,2,16000
54,0,0,1,2,2,15000
57,1,0,5,4,3,56000
51,0,0,5,6,2,40000
37,0,0,3,5,2,20000
50,0,0,1,2,2,5000
61,1,0,6,2,2,6000
45,1,0,5,4,2,15000
25,0,0,3,4,2,18000
60,1,0,1,2,1,4500
37,0,0,5,4,2,15000
47,1,0,5,6,2,15000
24,0,0,1,3,2,25000
45,0,0,1,4,2,10000
47,1,0,1,2,2,12000
33,1,0,5,4,2,10000
54,0,0,5,2,2,18000
26,0,0,1,4,2,5000
36,0,0,1,4,2,16000
40,0,0,1,3,2,10000
60,0,0,5,2,2,25000
48,0,0,5,6,3,30000
54,0,0,3,6,2,18000
58,1,0,1,2,2,1000
53,0,0,5,3,2,1000
51,0,0,1,2,2,27000
59,0,0,1,1,2,10000
40,0,0,1,2,2,6000
58,0,0,3,4,2,20000
21,0,0,1,3,2,15000
34,0,0,1,2,2,6000
33,0,0,1,4,2,20000
25,1,0,5,4,2,3000
57,0,0,5,4,2,14000
46,1,0,5,6,3,60000
58,0,0,1,2,2,12000
38,0,0,1,4,2,4000
46,0,0,1,2,2,9000
41,0,0,1,1,2,8000
67,1,0,5,2,2,10000
33,0,0,1,2,2,15000
57,0,1,1,0,2,20000
47,0,0,3,4,3,100000
55,0,0,5,4,2,30000
41,1,0,5,4,2,5000
62,1,0,5,5,2,2000
48,0,0,1,3,2,13500
34,1,0,1,4,2,4000
64,0,0,1,3,2,5000
62,0,0,1,3,2,5000
36,1,0,3,5,2,2500
66,0,0,1,2,3,15000
38,1,0,1,4,2,40000
61,0,0,1,1,2,7000
39,0,0,1,1,2,10000
56,1,0,5,6,2,12000
66,0,0,5,3,2,17000
59,0,0,5,4,3,40000
38,1,0,5,6,2,3000
29,0,0,5,4,2,25000
50,0,0,1,1,2,5000
36,0,0,1,6,2,15000
58,0,0,1,2,2,8000
56,1,0,5,5,2,10000
66,0,0,5,1,2,8000
34,1,0,1,5,2,12000
31,1,0,1,3,2,2000
57,0,0,1,4,2,3500
52,0,0,1,2,2,12000
53,0,0,1,2,2,5000
55,0,0,1,1,2,4000
36,0,0,1,3,2,20000
56,1,0,5,2,2,5000
33,0,0,3,5,2,7000
33,1,0,5,6,3,16000
57,0,0,1,3,2,12000
54,0,0,3,5,2,15000
42,0,0,5,2,2,15000
56,0,0,1,4,2,6000
45,0,0,1,4,2,1500
43,1,0,5,6,3,30000
63,1,0,5,4,3,20000
65,0,0,5,3,2,14000
65,0,0,1,1,2,8000
59,1,0,1,4,2,10000
36,0,0,1,2,2,6000
54,1,0,5,5,2,30000
38,0,0,1,6,2,1000
44,1,0,5,6,3,15000
58,0,0,1,1,2,18000
38,0,0,5,4,2,15000
69,1,0,5,3,2,4000
46,1,0,3,5,2,6000
54,0,0,1,3,2,6000
45,0,0,1,2,2,8000
54,1,0,1,5,2,8000
80,1,0,5,1,2,1000
44,1,0,5,4,2,5000
76,0,0,5,4,2,10000
39,0,0,1,2,2,6000
45,0,0,1,1,2,2000
47,0,0,1,2,2,18000
29,1,0,1,3,2,6000
39,0,0,1,6,2,30000
52,0,0,5,6,3,16000
42,0,0,1,0,2,8600
62,0,0,3,5,2,25000
43,0,0,1,4,2,8000
20,0,0,1,4,3,3000
58,0,0,5,2,2,10000
72,0,0,5,2,2,6000
37,1,0,3,2,3,10000
57,1,0,1,6,2,12000
34,0,0,2,1,2,40000
62,0,0,1,4,3,9000
44,1,0,1,4,3,12000
55,0,0,1,1,2,25000
58,0,0,1,4,2,1000
27,0,0,1,3,2,4000
44,0,0,3,5,2,5000
30,0,0,1,4,2,1400
40,1,0,5,3,2,1000
24,0,0,5,5,2,2500
43,1,0,1,4,2,4000
62,1,0,3,6,2,25000
32,0,0,6,5,2,35000
41,0,0,1,2,2,2000
42,0,0,1,4,2,15000
56,0,0,5,5,2,25000
33,0,0,1,5,2,12000
30,1,0,5,4,2,1500
63,1,0,5,4,2,10000
25,0,0,1,4,2,8000
29,0,0,5,3,2,30000
30,0,0,1,2,2,12800
21,0,0,5,5,2,15000
57,0,0,1,3,2,10000
39,0,1,1,0,2,6000
44,1,0,1,6,2,8000
60,0,0,1,2,2,17000
63,0,0,5,2,2,30000
49,0,0,5,2,3,25000
59,0,0,5,5,2,10000
54,1,0,1,2,2,1000
45,0,0,1,3,2,20000
32,1,0,5,6,2,5000
23,0,0,1,3,2,7000
34,1,0,3,6,2,25000
50,0,0,5,6,3,30000
34,0,0,1,3,2,25000
36,1,0,5,5,3,30000
28,0,0,1,3,2,8000
55,1,0,1,3,2,1200
38,0,1,5,1,2,6000
32,0,0,1,4,2,9000
48,0,0,3,6,3,30000
76,0,0,5,3,2,8000
41,1,0,1,3,2,7500
55,0,0,1,2,2,7000
40,0,0,5,2,2,6000
69,0,1,5,1,2,9000
54,0,0,1,2,2,10000
37,1,0,1,1,2,600
64,0,0,1,3,2,20000
68,0,0,5,5,2,20000
47,1,0,1,2,2,3500
42,0,0,5,2,2,8000
33,1,0,5,4,2,3000
27,0,0,1,3,2,15000
42,0,0,1,6,2,15000
30,1,0,5,5,2,35000
57,0,0,1,4,2,2000
40,1,0,1,5,2,10000
47,0,0,1,2,2,8000
65,0,0,5,2,2,12000
35,1,0,1,5,2,2500
66,0,0,5,2,2,5000
35,0,0,1,4,2,1000
60,0,0,5,2,2,20000
55,1,0,5,4,2,15000
37,1,0,1,3,1,1440
43,0,0,1,1,2,6000
